Rk,Team,W,L,Season
1,Golden State Warriors*,67,15,2017
2,San Antonio Spurs*,61,21,2017
3,Houston Rockets*,55,27,2017
4,Toronto Raptors*,51,31,2017
5,Los Angeles Clippers*,51,31,2017
6,Utah Jazz*,51,31,2017
7,Cleveland Cavaliers*,51,31,2017
8,Boston Celtics*,53,29,2017
9,Washington Wizards*,49,33,2017
10,Miami Heat,41,41,2017
11,Oklahoma City Thunder*,47,35,2017
12,Memphis Grizzlies*,43,39,2017
13,Denver Nuggets,40,42,2017
14,Chicago Bulls*,41,41,2017
15,Charlotte Hornets,36,46,2017
16,Indiana Pacers*,42,40,2017
17,Milwaukee Bucks*,42,40,2017
18,Portland Trail Blazers*,41,41,2017
19,Atlanta Hawks*,43,39,2017
20,Detroit Pistons,37,45,2017
21,Minnesota Timberwolves,31,51,2017
22,New Orleans Pelicans,34,48,2017
23,Dallas Mavericks,33,49,2017
24,New York Knicks,31,51,2017
25,Sacramento Kings,32,50,2017
26,Phoenix Suns,24,58,2017
27,Philadelphia 76ers,28,54,2017
28,Brooklyn Nets,20,62,2017
29,Orlando Magic,29,53,2017
30,Los Angeles Lakers,26,56,2017
,,,,
,,,,
,,,,
