Rk,Team,W,L,Season 
1,Houston Rockets*,65,17,2018
2,Toronto Raptors*,59,23,2018
3,Golden State Warriors*,58,24,2018
4,Utah Jazz*,48,34,2018
5,Philadelphia 76ers*,52,30,2018
6,Boston Celtics*,55,27,2018
7,Oklahoma City Thunder*,48,34,2018
8,San Antonio Spurs*,47,35,2018
9,Portland Trail Blazers*,49,33,2018
10,Minnesota Timberwolves*,47,35,2018
11,Denver Nuggets,46,36,2018
12,Indiana Pacers*,48,34,2018
13,New Orleans Pelicans*,48,34,2018
14,Cleveland Cavaliers*,50,32,2018
15,Washington Wizards*,43,39,2018
16,Miami Heat*,44,38,2018
17,Charlotte Hornets,36,46,2018
18,Los Angeles Clippers,42,40,2018
19,Detroit Pistons,39,43,2018
20,Milwaukee Bucks*,44,38,2018
21,Los Angeles Lakers,35,47,2018
22,Dallas Mavericks,24,58,2018
23,New York Knicks,29,53,2018
24,Brooklyn Nets,28,54,2018
25,Orlando Magic,25,57,2018
26,Atlanta Hawks,24,58,2018
27,Memphis Grizzlies,22,60,2018
28,Chicago Bulls,27,55,2018
29,Sacramento Kings,27,55,2018
30,Phoenix Suns,21,61,2018
,,,,
